lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4446697,Redarm ʷᴬᵒ,339030,wAo,25,92,479202835,25043,3342601097,League of Order,5616154,508379389,415568211,31734406,18680998,13175580,47663401,1940284647,4198,810097,487361,2998,590971168,277359626,253902913,1180471322,2540,1090338985,228,91642,106171256850,86975251407,57800678692,63400743882,-,1765069792,1308993888,84607023,36409277,144206505
1185058,Melatonin ʚïɞ,266039,wAo2,25,92,426294307,25043,1854818273,Springwardens,4248153,467733168,363889148,31732531,18641248,12031380,5126586,1219547154,229,415526,301473,318,440193128,439070903,364235495,3071716183,53,4671487844,953,129423,21603800203,20772607824,10745652598,11479746388,-,890321621,734258334,23907950,11134877,194959998
6853139,XFTManiacʷᴬᵒ,266039,wAo2,25,92,331096626,25043,1603083219,League of Order,8039895,385313036,267424632,31734406,18680998,13256590,15229652,1184779088,1065,440554,328093,417,306451595,172490732,172103462,733889976,41,489430058,99,104973,49923615798,43650504416,24012934091,29974300406,-,986918914,492140544,27282522,10757608,81767038
10164187,籵GENTLEMAN,266039,wAo2,25,92,272855583,25043,2033913076,League of Order,4553620,326192851,209377899,31734406,18680998,13062280,19050483,1444391092,1187,689016,420202,963,406117109,211344377,361068881,8327987544,55,4827782996,971,143665,62083185218,67996630239,28269201682,36107956582,-,1178475340,675081653,35951833,16270015,127015403
10078833,카이레이ray,266039,wAo2,25,92,265026720,25043,1052675051,Springwardens,1466889,282089780,201934356,31734406,18680998,12676960,10259286,882833344,455,310408,344357,643,1525093632,1403252482,920789973,4369098573,3640,4422271959,898,145260,36162308487,40814892460,27315146656,24861932003,-,650128553,350920665,8365953,4483344,38598639
3078500,Аnf,266039,wAo2,25,92,261405648,25043,2027524225,League of Order,6479299,261405648,198448249,31732531,18680998,12543870,17334250,992149428,1939,262332,496863,2228,704307998,553821241,779229193,3801652066,526,948277385,225,192038,33744541520,25551304134,20994898521,19048633748,-,1276555197,507589336,30329975,35888182,175309773
10221428,시온,287580,NM!,25,428,260957903,25043,3266694659,League of Order,2415572,266885453,198123309,31734406,18680998,12419190,8872288,1197002217,2160,227212,483716,1272,1274664203,806530357,600553286,4840760241,664,1665800004,340,167413,20662557291,22857457914,15663401004,13709276097,-,1168997319,1792638320,49845491,31779011,221911559
10674190,ᵘˡᵗᶦᵐᵃᵗᵉˡʸEZ,266039,wAo2,25,92,254527777,25043,1851371468,Springwardens,4936623,278053747,190634633,31734406,18680998,13477740,20715783,1115276402,2550,239329,498290,2099,363808616,268290709,153398513,1410676395,954,18384692241,3704,140135,48316541332,48136149070,34895050602,27708300462,-,982514478,650099315,34994335,22259993,159820768
11537218,大老BAO,266039,wAo2,25,92,249585943,25043,2215761822,League of Order,6133465,281323287,187213479,31734406,18680998,11957060,7016622,1120109810,934,250081,378087,909,811706563,507380413,219641593,7912855551,209,23899958121,4828,109699,18855904486,17539418709,13621265296,6366593661,-,833605645,1098597980,93729488,36578729,152740822
2122130,ShutDown,266039,wAo2,25,92,236804421,25043,2278818949,League of Order,5865681,277796251,173451577,31734406,18680998,12937440,12265213,1008346615,1386,174556,629985,2108,2910321368,2655542208,1846685166,6496289174,117,4287823796,868,143700,25364224723,23875642166,19406940878,15077589450,-,1252570896,833309657,26436011,12698394,153043282
1257530,CUAlma,266039,wAo2,25,92,236780306,25043,1810786572,Springwardens,5491579,265148766,173294432,31734406,18680998,13070470,10902523,994373431,1425,337277,248793,1285,402521771,257560000,416149940,3492656860,5857,1153070252,271,145417,23326798345,21697776008,9768123138,12715645917,-,807301158,782691219,36740701,17028518,165846681
2790251,ˣˡˡˡRegi OnlyInf,369276,-I-,25,509,231068571,25043,1003836274,League of Order,4212816,268425041,169940157,31734406,18680998,10713010,2421646,905566827,161,418194,227579,794,2753619729,2521861427,1631479566,10069478012,465,742721035,184,119322,20268973549,20132157461,6308825584,11112937503,-,502000700,436396741,8497151,4084838,52715502
5039991,Valsa,290332,ED:2,25,17,220993119,25043,1658459834,League of Order,2523080,247816362,158281695,31734406,18680998,12296020,7233278,812296499,496,149139,350582,1170,2237074367,2238051179,1451258478,5506621463,25936,1389297959,282,183085,16928035089,17702058481,10882088279,10570082593,-,763508697,704919096,18693373,12119710,158957422
10794959,The Captain ʷᴬᵒ,266039,wAo2,25,92,220105370,25043,3199482851,Wilderburg,10276283,261231600,155671356,31734406,18680998,13170120,32300890,1981003777,4901,697350,680421,1442,662218327,450845786,508923747,2485950237,3170,3152360945,689,139888,105870156884,88436919987,76115247440,66140662687,-,1811389403,1121272107,57797325,33569354,173489160
