lord_id,name,alliance_id,alliance_tag,town_center,home_server,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4446697,Redarm ʷᴬᵒ,339030,wAo,25,92,495526815,25043,3330834748,League of Order,1064139,508379389,431937231,31734406,18680998,13174180,47316314,1932532694,4187,805132,484726,2992,590966797,277359626,253901674,1180298623,2540,1090338985,228,90118,106101022850,86902882407,57799478692,63367696882,-,1756069598,1306792154,84599533,36409277,143665462
1185058,Melatonin ʚïɞ,339030,wAo,25,92,395006668,25043,1843597285,Springwardens,700668,464343088,332609619,31732531,18641248,12023270,5067822,1204987208,229,411729,299030,318,437685661,439070055,362922771,3033122492,53,4671487844,953,128091,21394010203,20555652824,10618188598,11332165388,-,883263389,731982201,23680151,10143232,194292819
6853139,XFTManiacʷᴬᵒ,339374,wAo4,25,92,350732056,25043,1581967223,League of Order,1065837,385273236,287033442,31734406,18680998,13283210,15135105,1170481377,1061,434803,325865,415,306450611,172490732,172103260,733889942,41,489430058,99,103508,49834278912,43555502530,23943954205,29915208668,-,970706748,488816273,27274925,10746232,80209067
10164187,籵GENTLEMAN,339030,wAo,25,92,326128441,25043,2021538805,League of Order,-,326128441,262652157,31734406,18680998,13060880,18989273,1436309275,1186,684900,417966,952,406117109,211344377,361068570,8222431126,55,4827782996,971,141534,61970430865,67887225886,28217049682,36053176082,-,1167493138,673705465,35951833,16269939,126999598
10674190,ᵘˡᵗᶦᵐᵃᵗᵉˡʸEZ,339030,wAo,25,92,270527697,25043,1837910728,Springwardens,-,277791317,206641753,31734406,18680998,13470540,20677089,1107608218,2550,236899,492864,2093,354799616,257436729,138383217,1388015993,954,18384692241,3704,138103,48234600332,48060102070,34831858602,27644808962,-,970957348,648760028,34994285,22258343,159258145
11537218,大老BAO,339030,wAo,25,92,266704017,25043,2201698606,League of Order,765148,281088367,204338453,31734406,18680998,11950160,6956332,1109163816,927,247318,376228,907,806917077,507380119,219641593,7844107862,209,23899958121,4828,106950,18783926566,17457971789,13576102576,6327419861,-,822586203,1096884897,93724928,36569115,151424305
10078833,카이레이ray,339030,wAo,25,92,261491780,25043,1048954268,Springwardens,-,281677270,198416146,31734406,18680998,12596230,10242299,872501264,455,308747,342303,628,1525093632,1403252482,920789973,4281343119,3640,4422271959,898,143801,36041850499,40724878416,27228826132,24783991487,-,646853076,350475359,8365953,4483344,38598639
10794959,The Captain ʷᴬᵒ,339030,wAo,25,92,247881780,25043,3175717138,Wilderburg,1620004,261230270,184261256,31734406,18680998,13205120,32008975,1965123945,4889,690458,674931,1442,662218327,450842227,508923672,2464510393,3170,3152360945,689,138360,105454311921,87886465296,75759855465,65826932847,-,1791018541,1118290738,57793035,33529168,173124376
5039991,Valsa,196212,'ED',25,17,242569272,25043,1652361958,League of Order,-,247816362,179819638,31734406,18680998,12334230,7156899,808201270,496,147476,348726,1157,2176658305,2207111833,1440604990,5487679463,25936,1389297959,282,181463,16901953089,17675634481,10877888279,10560178093,-,757434765,704895432,18693315,12119514,158957396
10221428,시온,287580,NM!,25,428,241732613,25043,3260050367,League of Order,-,266641203,178907349,31734406,18680998,12409860,8860902,1184896862,2160,226246,482138,1271,1274235621,806114855,600553286,4815050797,664,1665800004,340,165047,20643457277,22833592900,15657112990,13704531597,-,1163147158,1791849858,49839822,31779011,221911559
2790251,ˣˡˡˡRegi OnlyInf,369276,-I-,25,509,236159931,25043,993728468,League of Order,-,267988231,175074807,31734406,18680998,10669720,2421646,894658930,161,411787,225888,793,2753618779,2521861068,1631476127,9974376037,465,742721035,184,117956,20251206549,20109212461,6298417584,11106516003,-,493081091,435338204,8497151,4084838,52585842
11364835,Mad X,287580,NM!,25,428,234304614,25043,1159572001,League of Order,-,234307174,171389120,31734406,18680998,12500090,3394526,650821442,212,121120,257764,905,1287980069,1118235119,802521602,3243212900,487,997143466,229,89434,14058905438,14971446320,10463186530,8987443032,-,529202244,519136574,18270094,11169579,81701326
